,Reference,Schisto. Type,Country,Drug,Number,Dosage,Sample Size,Age,Sex (M:F),Year,Inclusion Criteria,Blind/Double Blind,Study Type,Followup/Endpoint,Cure Rate,Egg Reduction Rate,Conclusion,Notes,Reference,URL,x = exclude,,,,,,,,,,,,,,,,
Mohammad ayoub,"youb A. Mohamed, Haider M. Mahgoub, Mamoun Magzoub, Gasim I. Gasim, Walid N. Eldein, Abd el Aziz A. Ahmed, Ishag Adam; Artesunate plus sulfadoxine/pyrimethamine versus praziquantel in the treatment of Schistosoma mansoni in eastern Sudan. Trans R Soc Trop Med Hyg 2009; 103 (10): 1062-1064. doi: 10.1016/j.trstmh.2009.01.026",s. mansoni,Sudan,Praziquantel,1,40 mg/kg,46,8-17,,2009,"children with S. mansoni infection willing to be examined and followed-up were included in the study. Those with a history of allergy to sulphonamides, use of either AS+SP or PZQ within the last 30 days or who had malaria were excluded.",No Blind,RCT,28,100.0%,,The current study showed a significantly lower efficacy of AS+SP in comparison with PZQ (58.6% vs. 100%).,,"youb A. Mohamed, Haider M. Mahgoub, Mamoun Magzoub, Gasim I. Gasim, Walid N. Eldein, Abd el Aziz A. Ahmed, Ishag Adam; Artesunate plus sulfadoxine/pyrimethamine versus praziquantel in the treatment of Schistosoma mansoni in eastern Sudan. Trans R Soc Trop Med Hyg 2009; 103 (10): 1062-1064. doi: 10.1016/j.trstmh.2009.01.026",https://academic.oup.com/trstmh/article-abstract/103/10/1062/1927838/Artesunate-plus-sulfadoxine-pyrimethamine-versus?redirectedFrom=fulltext,,,,,,,,,,,,,,,,,
Ferrari MT,"Ferrari, M. L. A., Coelho, P. M. Z., Antunes, C. M. F., Tavares, C. A. P., & da Cunha, A. S. (2003). Efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bulletin of the World Health Organization, 81(3), 190–196.",s. mansoni,Brazil,Praziquantel,3,60 mg/kg,36,12-59,30-6,2003,,No Blind,RCT,180,100.0%,77.20%,raziquantel was significantly more effective than oxamniquine in treating S. mansoni infection. The oogram was markedly more sensitive than stool examinations in detecting S. mansoni eggs and should be recommended for use in clinical trials with schistosomicides.,"This study has already been recorded, I was just used it for practice.","Ferrari, M. L. A., Coelho, P. M. Z., Antunes, C. M. F., Tavares, C. A. P., & da Cunha, A. S. (2003). Efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bulletin of the World Health Organization, 81(3), 190–196.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2572425/,,,,,,,,,,,,,,,,,
Ferrari MT,"Ferrari, M. L. A., Coelho, P. M. Z., Antunes, C. M. F., Tavares, C. A. P., & da Cunha, A. S. (2003). Efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bulletin of the World Health Organization, 81(3), 190–196.",s. mansoni,Brazil,Oxaminquine and placebo,1+ 2,10 mg/kg Oxaminquine,34,13-51,22-12,2003,,No Blind,RCT,180,90.3%,81.1%,raziquantel was significantly more effective than oxamniquine in treating S. mansoni infection. The oogram was markedly more sensitive than stool examinations in detecting S. mansoni eggs and should be recommended for use in clinical trials with schistosomicides.,"This study has already been recorded, I was just used it for practice","Ferrari, M. L. A., Coelho, P. M. Z., Antunes, C. M. F., Tavares, C. A. P., & da Cunha, A. S. (2003). Efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bulletin of the World Health Organization, 81(3), 190–196.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2572425/,,,,,,,,,,,,,,,,,
Ferrari MT,"Ferrari, M. L. A., Coelho, P. M. Z., Antunes, C. M. F., Tavares, C. A. P., & da Cunha, A. S. (2003). Efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bulletin of the World Health Organization, 81(3), 190–196.",s. mansoni,Brazil,placebo,3,,36,12-41,26-10,2003,,No Blind,RCT,180,,5.4%,raziquantel was significantly more effective than oxamniquine in treating S. mansoni infection. The oogram was markedly more sensitive than stool examinations in detecting S. mansoni eggs and should be recommended for use in clinical trials with schistosomicides.,"This study has already been recorded, I was just used it for practice","Ferrari, M. L. A., Coelho, P. M. Z., Antunes, C. M. F., Tavares, C. A. P., & da Cunha, A. S. (2003). Efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bulletin of the World Health Organization, 81(3), 190–196.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2572425/,,,,,,,,,,,,,,,,,
Nalugwa A.,"Nalugwa, A., Nuwaha, F., Tukahebwa, E. M., & Olsen, A. (2015). Single Versus Double Dose Praziquantel Comparison on Efficacy and Schistosoma mansoni Re-Infection in Preschool-Age Children in Uganda: A Randomized Controlled Trial. PLoS Neglected Tropical Diseases, 9(5), e0003796. http://doi.org/10.1371/journal.pntd.0003796",s. mansoni,Uganda,Praziquantel,Single,40 mg/kg,509,1-5,49.3%:51.7%,2015,Pre-school aged children who tested positive for s. mansoni,Yes Blind,RCT,1 month,83.2%,98.9%,Two PZQ doses lead to significant reduction in egg excretion compared to a single dose. ,This study was also recorded already.,"Nalugwa, A., Nuwaha, F., Tukahebwa, E. M., & Olsen, A. (2015). Single Versus Double Dose Praziquantel Comparison on Efficacy and Schistosoma mansoni Re-Infection in Preschool-Age Children in Uganda: A Randomized Controlled Trial. PLoS Neglected Tropical Diseases, 9(5), e0003796. http://doi.org/10.1371/journal.pntd.0003796",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4444284/,,,,,,,,,,,,,,,,,
Nalugwa A.,"Nalugwa, A., Nuwaha, F., Tukahebwa, E. M., & Olsen, A. (2015). Single Versus Double Dose Praziquantel Comparison on Efficacy and Schistosoma mansoni Re-Infection in Preschool-Age Children in Uganda: A Randomized Controlled Trial. PLoS Neglected Tropical Diseases, 9(5), e0003796. http://doi.org/10.1371/journal.pntd.0003796",s. mansoni,Uganda,Praziquantel,Double,40 mg/kg,508,1-5,54.3%:45.7%,2015,Pre-school aged children who tested positive for s. mansoni,Yes Blind,RCT ,1 month,85.5%%,99.3%,Two PZQ doses lead to significant reduction in egg excretion compared to a single dose. ,This study was also recorded already.,"Nalugwa, A., Nuwaha, F., Tukahebwa, E. M., & Olsen, A. (2015). Single Versus Double Dose Praziquantel Comparison on Efficacy and Schistosoma mansoni Re-Infection in Preschool-Age Children in Uganda: A Randomized Controlled Trial. PLoS Neglected Tropical Diseases, 9(5), e0003796. http://doi.org/10.1371/journal.pntd.0003796",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4444284/,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heather's data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. mansoni infection,,,Country,Efficacy Cure Rate,Egg Reduction Rate,Dosage,Sample Size,Inclusion Criteria,Endpoint,Conclusion ,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, Haridi AA, Abdel-Hameed AA. Field study of different oxamniquine dose for Schistosoma mansoni in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1988;91(3):131–7. http://www.ncbi.nlm.nih.gov/pubmed/?term=Field+study+of+different+oxamniquine+dose+for+Schistosoma+mansoni+in+Gezira%2C+Sudan.+Journal+of+Tropical+Medicine+and+Hygiene+1988%3B91(3)%3A131–7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, Haridi AA, Abdel-Hameed AA. Field study of different oxamniquine dose for Schistosoma mansoni in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1988;91(3):131–7. http://www.ncbi.nlm.nih.gov/pubmed/?term=Field+study+of+different+oxamniquine+dose+for+Schistosoma+mansoni+in+Gezira%2C+Sudan.+Journal+of+Tropical+Medicine+and+Hygiene+1988%3B91(3)%3A131–7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, Haridi AA, Abdel-Hameed AA. Field study of different oxamniquine dose for Schistosoma mansoni in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1988;91(3):131–7. http://www.ncbi.nlm.nih.gov/pubmed/?term=Field+study+of+different+oxamniquine+dose+for+Schistosoma+mansoni+in+Gezira%2C+Sudan.+Journal+of+Tropical+Medicine+and+Hygiene+1988%3B91(3)%3A131–7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, Haridi AA, Abdel-Hameed AA. Field study of different oxamniquine dose for Schistosoma mansoni in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1988;91(3):131–7. http://www.ncbi.nlm.nih.gov/pubmed/?term=Field+study+of+different+oxamniquine+dose+for+Schistosoma+mansoni+in+Gezira%2C+Sudan.+Journal+of+Tropical+Medicine+and+Hygiene+1988%3B91(3)%3A131–7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, Haridi AA, Abdel-Hameed AA. Field study of different oxamniquine dose for Schistosoma mansoni in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1988;91(3):131–7. http://www.ncbi.nlm.nih.gov/pubmed/?term=Field+study+of+different+oxamniquine+dose+for+Schistosoma+mansoni+in+Gezira%2C+Sudan.+Journal+of+Tropical+Medicine+and+Hygiene+1988%3B91(3)%3A131–7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, Haridi AA, Abdel-Hameed AA. Field study of different oxamniquine dose for Schistosoma mansoni in Gezira, Sudan. Journal of Tropical Medicine and Hygiene 1988;91(3):131–7. http://www.ncbi.nlm.nih.gov/pubmed/?term=Field+study+of+different+oxamniquine+dose+for+Schistosoma+mansoni+in+Gezira%2C+Sudan.+Journal+of+Tropical+Medicine+and+Hygiene+1988%3B91(3)%3A131–7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,,,South America,3m 100%,100%,Oxamniquine (60 mg/kg): 15 mg/kg twice daily for two days,65,adolescents and adults aged over 15 years with a geometric mean of 200 EPG or above,Cure rate 3 months with modified Kato-Katz thick smear of egg reduction rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,,,South America,3m 100%,100%,Oxamniquine (40 mg/kg),65,adolescents and adults aged over 15 years with a geometric mean of 200 EPG or above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,,,South America,3 m 86.7%,73.70%,Oxamniquine (30 mg/kg):,65,adolescents and adults aged over 15 years with a geometric mean of 200 EPG or above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barakat R, Elmorshedy H, Fenwick A. Efficacy of myrrh in the treatment of human schistosomiasis mansoni. American Journal of Tropical Medicine and Hygiene 2005;73(2):365–7.",,,Egypt,3w (73.7%) 6w (76.3%),3w(17.2%) 6w(28%),Praziquantel (40 mg/kg),104,S.mansoni-positive individuals ,Cure rate 3 and 6 weeks based on egg reduction rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Botros S, Sayed H, El-Dusoki H, Sabry H, Rabie I, El- Ghannam M, et al.Efficacy of mirazid in comparison with praziquantel in Egyptian Schistosoma mansoni-infected school children and households. American Journal of Tropical Medicine and Hygiene 2005;72(2):119–23.",,,Egypt,4weeks (62.5%) and 6 weeks (79.7%),63.70%,Praziquantel (40 mg/kg,"1,131",children and adolescent aged 12 to 18 years who had S. mansoni eggs in their stool,Cure rates examined 4-6 weeks post-treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Botros S, Sayed H, El-Dusoki H, Sabry H, Rabie I, El- Ghannam M, et al.Efficacy of mirazid in comparison with praziquantel in Egyptian Schistosoma mansoni-infected school children and households. American Journal of Tropical Medicine and Hygiene 2005;72(2):119–23.",,,Egypt,4weeks (9.1%) and 6 weeks (8.9%),88%,Mirazid; 300 mg/day,"1,131",children and adolescent aged 12 to 18 years who had S. mansoni eggs in their stool,Cure rates examined 4-6 weeks post-treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Branchini ML, Pedro R J de, Dias LC, Deberaldini ER. Double-blind clinical trial comparing praziquantel with oxamniquine in the treatment of patients with schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1982;24(5):315–21.",,,Brazil,6m: 61.1%,N/A,Praziquantel (45.4 mg/kg,,patients aged 10 to 65 years with chronic intestinal S. mansoni infection,ollow-up: six months three consecutive stool (3 slides each) from Kato-Katz and sponta- neous sedimentation methods. EPG expressed as geometric mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Branchini ML, Pedro R J de, Dias LC, Deberaldini ER. Double-blind clinical trial comparing praziquantel with oxamniquine in the treatment of patients with schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1982;24(5):315–21.",,,Brazil,6m: 54%,N/A,Oxamniquine (13.8 mg/kg,,patients aged 10 to 65 years with chronic intestinal S. mansoni infection,ollow-up: six months three consecutive stool (3 slides each) from Kato-Katz and sponta- neous sedimentation methods. EPG expressed as geometric mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coulibaly JT, N’Gbesso YK, Knopp S, Keiser J, N’Goran EK, Utzinger J. Efficacy and Safety of Praziquantel in Preschool-Aged Children in an Area Co-Endemic for Schistosoma mansoni and S. haematobium. Diemert DJ, ed. PLoS Neglected Tropical Diseases. 2012;6(12):e1917. doi:10.1371/journal.pntd.0001917.",,,Côte d'Ivoire,3 w: 88.6%,3w: 96.7%,PZQ 40 mg/kg,160 preschool-aged children had at least one stool and one urine sample examined,infected with either S.mansoni or S.haemon,"We assessed the efficacy among preschool-aged children (<6 years), where Schistosoma mansoni and S. haematobium coexist. Using a cross-sectional design, children provided two stool and two urine samples before and 3 weeks after treatment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",,,Zimbabwe,3 m(10%) 6m(37.5%),69%,Praziquantel (8 mg/kg x 1) plus oxamniquine (4 mg/kg x 1),59,schoolchildren aged 7 to 16 years with both S. mansoni and S. haematobium,Cure rate 3 and 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",,,Zimbabwe,3m(38.5%) 6m(64.7%),N/A ,Praziquantel (15 mg/kg x 1) plus oxamniquine (7.5 mg/kg x 1),59,schoolchildren aged 7 to 16 years with both S. mansoni,Cure rate 3 and 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Creasey AM, Taylor P, Thomas JE. Dosage trial of a combination of oxamniquine and praziquantel in the treatment of schistosomiasis in Zimbabwean schoolchildren. Central African Journal of Medicine 1986;32(7):165–7.",,,Zimbabwe,3m(52.6%) 6m(75.0%),93.40%,Praziquantel (20 mg/kg x 1) plus oxamniquine (10 mg/kg x 1),59,schoolchildren aged 7 to 16 years with both S. mansoni,Cure rate 3 and 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"da Cunha AS, Cançado JR, de Rezende GL. Therapeutical evaluation of different dose regimens of praziquantel in schistosomiasis mansoni, based on the quantitative oogram technique. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):295–304.",,,Brazil,25%,63.60%,"Praziquantel (60 mg/kg,",80,adolescent and adults patients aged 15 to 55 years with no previous antischistosomal treatment who were infected with S. mansoni,Cure rate 6 months by quantitative oogram for the estimation of number of viable eggs per gram of tissue found in rectal mucosa biopsies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"da Cunha AS, Cançado JR, de Rezende GL. Therapeutical evaluation of different dose regimens of praziquantel in schistosomiasis mansoni, based on the quantitative oogram technique. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):295–304.",,,Brazil,60%,73.10%,Praziquantel (120 mg/kg,80,adolescent and adults patients aged 15 to 55 years with no previous antischistosomal treatment who were infected with S. mansoni,Cure rate 6 months by quantitative oogram for the estimation of number of viable eggs per gram of tissue found in rectal mucosa biopsies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"da Cunha AS, Cançado JR, de Rezende GL. Therapeutical evaluation of different dose regimens of praziquantel in schistosomiasis mansoni, based on the quantitative oogram technique. Revista do Instituto de Medicina Tropical de São Paulo 1987;29(5):295–304.",,,Brazil,89.75%,86.60%,Praziquantel (180 mg/kg: 60mg for 3 days),80,adolescent and adults patients aged 15 to 55 years with no previous antischistosomal treatment who were infected with S. mansoni,Cure rate 6 months by quantitative oogram for the estimation of number of viable eggs per gram of tissue found in rectal mucosa biopsies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",,,Brazil,100%,,Praziquantel (60 mg/kg),58,adolescent and adult patients aged 15 to 55 years with chronic S. mansoni infection,Cure rate 6 months evaluated by stool examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",,,Brazil,90.30%,,Oxamniquine (20mg/kg),58,adolescent and adult patients aged 15 to 55 years with chronic S. mansoni infection,Cure rate 6 months evaluated by stool examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"da Silva LC, Zeitune JM, Rosa-Eid LM, Lima DM, Antonelli RH, Christo CH, et al.Treatment of patients with schistosomiasis mansoni: a double blind clinical trial comparing praziquantel with oxamniquine. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(3): 174–80.",,,Brazil,79.20%,93.50%,Praziquantel (55 mg/kg x 1),120,patients with chronic intestinal or hepato-intestinal S. mansoni infec- tion aged over 14 years,efficacy determined by eliminated viable eggs in the 3 stool examination from the 1st month 3 month and 6 month. Cure rate was on 6 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"da Silva LC, Zeitune JM, Rosa-Eid LM, Lima DM, Antonelli RH, Christo CH, et al.Treatment of patients with schistosomiasis mansoni: a double blind clinical trial comparing praziquantel with oxamniquine. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(3): 174–80.",,,Brazil,84.80%,84.10%,Oxamniquine (15 mg/kg),120,patients with chronic intestinal or hepato-intestinal S. mansoni infec- tion aged over 14 years,efficacy determined by eliminated viable eggs in the 3 stool examination from the 1st month 3 month and 6 month. Cure rate was on 6 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"de Clarke V, Blair DM, Weber MC, Garnett PA. Dose- finding trials of oral oxamniquine in Rhodesia. South African Medical Journal 1976;50(46):1867–71.",,,Zimbabwe,70'%,,Oxamniquine (60 mg/kg),30,individuals aged over 5 years who presented with S. mansoni infection,4 months examined failed rates by two stools on two consecutive days,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",,,Senegal, 5 w:(23%) 12w:(19%) 24w:(40%),5w (59%) 12w(62%) 24w(83%),Artesunate(12 mg/kg) ,110,individuals with Schistosoma mansoni infection was investigated,"The cure rate was calculated as the proportion of peoplewho were excreting eggs before treatment and who were notexcreting eggs in their stools 5, 12 and 24 weeks after treatment",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",,,Senegal,5w:(44%) 12w:(49%) 24w:(50%),5w(84%) 12(79%) 24w(89%),praziquantel (40mg/kg) 2 treatments given 3 weeks apart given 3 weeks apart,110,individuals with Schistosoma mansoni infection was investigated,"The cure rate was calculated as the proportion of peoplewho were excreting eggs before treatment and who were notexcreting eggs in their stools 5, 12 and 24 weeks after treatment",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",,,Senegal,5w:(69%) 12 (49%) 24w (48%),5w(89%) 12w(82%) 24w (87%),Artesunate(12 mg/kg) + Praziquantel (40mg/kg),110,individuals with Schistosoma mansoni infection was investigated,"The cure rate was calculated as the proportion of peoplewho were excreting eggs before treatment and who were notexcreting eggs in their stools 5, 12 and 24 weeks after treatment",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"de Jonge N, Schommer G, Feldmeier H, Krijger FW, Dafalla AA, Bienzle U, et al.Mixed Schistosoma haematobium and S. mansoni infection: effect of different treatments on the serum level of circulating anodic antigen (CAA). Acta Tropica 1990;48(1):25–35.",,,Sudan,1m: (22.5%) 5 m: (22.9%),,praziquantel(40mg/kg),123,school boys age ranged from 6 to1years.These patients were infected with S.mansoni and S.haematobiumas indicated by constant excretion of ova in stool and urine.,Results were expressed as number of viable ova per 10 ml of urine 1 month and 5 months after treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"de Jonge N, Schommer G, Feldmeier H, Krijger FW, Dafalla AA, Bienzle U, et al.Mixed Schistosoma haematobium and S. mansoni infection: effect of different treatments on the serum level of circulating anodic antigen (CAA). Acta Tropica 1990;48(1):25–35.",,,Sudan,1m:(44.7%) 5 m(50%),,Oxamniquine(60mg/kg),123,school boys age ranged from 6 to1years.These patients were infected with S.mansoni and S.haematobiumas indicated by constant excretion of ova in stool and urine.,Results were expressed as number of viable ova per 10 ml of urine 1 month and 5 months after treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"de Jonge N, Schommer G, Feldmeier H, Krijger FW, Dafalla AA, Bienzle U, et al.Mixed Schistosoma haematobium and S. mansoni infection: effect of different treatments on the serum level of circulating anodic antigen (CAA). Acta Tropica 1990;48(1):25–35.",,,Sudan,1m:(100) 5m(96.9%),, Metrifonate (30 mg/kg),38,school boys age ranged from 6 to1years.These patients were infected with S.mansoni and S.haematobiumas indicated by constant excretion of ova in stool and urine.,Results were expressed as number of viable ova per 10 ml of urine 1 month and 5 months after treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Degu, Getinet, Getahun Mengistu, and Janet Jones. ""Praziquantel Efficacy against Schistosomiasis Mansoni in Schoolchildren in North-west Ethiopia."" Praziquantel Efficacy against Schistosomiasis Mansoni in Schoolchildren in North-west Ethiopia. January 2, 2002. Accessed February 19, 2015. http://trstmh.oxfordjournals.org/content/96/4/444.short.",,,Ethiopia,6 weeks: 94%,97%,praziquantel (40 mg/kg),154,10 to 14year old Children infected with S.mansoni,Cure rate based on faecial samples of 25 mg examined by thick smear method to detect S.mansoni eggs at 6 weeks,"Efficacy of PZQ remains high despite prolonged use, pervious infection and treatment did not alter susceotibility to infection",,,,,,,,,,,,,,,,,,,,,,,,,,,
Efficacy was accessed at 6 weeks and followed up at 6 months and 12 months with urine and stool sample examined for eggs. Drug efficacy was measured by assessing cure rate (percent of children positive for egg-patent infection becoming negative after treatment,,,Senegal (Temeye),6 months: 84.6%,99.90%,praziquantel (40mg/kg) 2 treatments given 3 weeks apart given 3 weeks apart,89,9 year old children were infected with S.mansoni ,Efficacy was accessed at 6 weeks and followed up at 6 months and 12 months with urine and stool sample examined for eggs. Drug efficacy was measured by assessing cure rate (percent of children positive for egg-patent infection becoming negative after treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrari ML, Coelho PM, Antunes CM, Tavares CA, da Cunha AS. Efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bulletin of the World Health Organization 2003;81(3): 190–6.",,,Brazil,6m 100%,N/A,Praziquantel (60 mg/kg),106,26 year olds M/F patients infected with S. mansoni," Faecal examinations (days 15, 30, 60, 90, 120, 150, and 180 after treatment) and biopsy of rectal mucosa by quantitative oogram (days 30, 60, 120, and 180) were used for the initial diagnosis and for evaluating the degree of cure.",Praziquantel was significantly more effective than oxamniquine in treating S. mansoni infection.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrari ML, Coelho PM, Antunes CM, Tavares CA, da Cunha AS. Efficacy of oxamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bulletin of the World Health Organization 2003;81(3): 190–6.",,,Brazil,6 m 90.3%,N/A,Oxamniquine(10 mg/kg) 2 daily doses,106,26 year olds M/F patients infected with S. mansoni," Faecal examinations (days 15, 30, 60, 90, 120, 150, and 180 after treatment) and biopsy of rectal mucosa by quantitative oogram (days 30, 60, 120, and 180) were used for the initial diagnosis and for evaluating the degree of cure.",Praziquantel was significantly more effective than oxamniquine in treating S. mansoni infection.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrari MLA, Cowlho PMZ, Antunes CMF, Tavares CAP, da Cunha AS. Efficacy of oamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bull World Health Organ 2008; 86: 788‐795.",,,Brazil,6 m: 42.4%,N/A,Oxamiquine 10mg/kg (2 daily dosages on 1st day),106,12-59 yrs. Males (78) Females (28) Positive for S.mansoni,Evaluating drug efficacy at 6 months: negative parasitological stool examination and absence of viable S.mansoni eggs in oograms,Praziquantel more effective in treating S.mansoni infection,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrari MLA, Cowlho PMZ, Antunes CMF, Tavares CAP, da Cunha AS. Efficacy of oamniquine and praziquantel in the treatment of Schistosoma mansoni infection: a controlled trial. Bull World Health Organ 2008; 86: 788‐795.",,,Brazil,6 m: 96.1%,N/A,Praziquantel 60mg/kg (per day for 3 days),106,12-59 yrs. Males (78) Females (28) Positive for S.mansoni,Evaluating drug efficacy at 6 months: negative parasitological stool examination and absence of viable S.mansoni eggs in oograms,Praziquantel more effective in treating S.mansoni infection,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giboda, M., J. Loudova, O. Shonova, E. Bouckova, J. Horacek, P. Numrich, A. Ruppel, J. Vitovec, S. Lukes, and P. Noll. ""Efficacy of Praziquantel Treatment of Schistosomiasis in a Non-endemic Country: A Follow-up of Parasitological, Clinical and Immunological Parameters."" Journal of Hygiene, Epidemiology, Microbiology, and Immunology 36.4 (1992): 346-55. Web. 22 Feb. 2015.",,,Angola,1 yr: 69%,,Praziquantel 40mg/kg total (2 doses of 20mg/kg givin 6 hrs. apart),13,18-23 yrs old Infected with S.mansoni or S. haematobium,Cure rate determined 1 year by absence of Schistosomia eggs from biopsies and excreta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
